537, 789, ORF1
2424, 2625, ORF2
8274, 8307, ORF3
12405, 12423, ORF4
13080, 13149, ORF5
19833, 19962, ORF6
24117, 24225, ORF7
24630, 24876, ORF8
25245, 25314, ORF9
26232, 26316, ORF10
27138, 27156, ORF11
29211, 29292, ORF12
334, 646, ORF13
2128, 2296, ORF14
2479, 2704, ORF15
4066, 4351, ORF16
10357, 10396, ORF17
13549, 13705, ORF18
17587, 17785, ORF19
18763, 18940, ORF20
21625, 21847, ORF21
10427, 10445, ORF22
20549, 20714, ORF23
5316, 5334, ORF24
5676, 5724, ORF25
7122, 7263, ORF26
9279, 9441, ORF27
12051, 12117, ORF28
16698, 16773, ORF29
18108, 18156, ORF30
27285, 27306, ORF31
1147, 1234, ORF32
19606, 19795, ORF33
27412, 27592, ORF34
29173, 29488, ORF35
3074, 4685, ORF36
5054, 5567, ORF37
13925, 14102, ORF38
17507, 17999, ORF39
19673, 19886, ORF40
23672, 23681, ORF41
25835, 25994, ORF42
26867, 27044, ORF43
29657, 29909, ORF44
